global_step,q_over_gamma_mean,q_over_gamma_p50,q_over_gamma_p90,q_over_gamma_p99
800,2.866433377774134,1.0,7.535754538897289,14.023922526954879
820,2.841290696958336,1.0,7.448418178531331,13.863316420762809
840,2.8169959145204158,1.0,7.367807105159348,13.718708539537767
860,2.7935412046785535,1.0,7.290569925544337,13.566747606811687
880,2.770825857095436,1.0,7.21337064154189,13.436114443265978
900,2.7495076767220694,1.0,7.144199306215644,13.291329281628355
920,2.728094441103637,1.0,7.076129312129827,13.164734487721338
940,2.7085531776805367,1.0,7.009443692140853,13.039513054498762
960,2.6895574440946732,1.0,6.948692288233365,12.915002400859521
980,2.6712285645022598,1.0,6.885988076040424,12.805969262785773
1000,2.653195797373112,1.0,6.8264209100258695,12.697611850853718
1020,2.6364160651299566,1.0,6.768180090451399,12.598253936365237
1040,2.6198316631924197,1.0,6.71564729752087,12.488439674977302
1060,2.6035186462684465,1.0,6.661338147750939,12.380922479830295
1080,2.587743698594661,1.0,6.609930380818696,12.290565602294615
1100,2.5723105879060433,1.0,6.558866042875404,12.195790806875575
1120,2.557746414917319,1.0,6.510608348738363,12.103763917063285
1140,2.5433301099280428,1.0,6.464399386156098,12.019576445254643
1160,2.5296290967494683,1.0,6.418806227278158,11.927857102023157
1180,2.5169077916319336,1.0,6.374681523387456,11.844107561387325
1200,2.5041686107330743,1.0,6.333209512376925,11.761282318426916
1220,2.4914709917836038,1.0,6.289380867959456,11.68210393605781
1240,2.479325625505932,1.0,6.249873507613306,11.605649419266236
1260,2.4674619342255717,1.0,6.209551391596809,11.53344679020544
1280,2.456098456001464,1.0,6.171879599984706,11.4657433177475
1300,2.445308450566675,1.0,6.134222019227309,11.390509276528368
1320,2.433894754138191,1.0,6.0968107599516514,11.322782593007714
1340,2.4235474876055543,1.0,6.066507296509371,11.255908679193759
1360,2.413588153998949,1.0,6.030717258909144,11.193215006718074
1380,2.4036112974926724,1.0,5.996091327157657,11.13368360468788
1400,2.3939687575858506,1.0,5.966664199756148,11.07667439252206
1420,2.384804604695065,1.0,5.9368924591278,11.017059738568001
1440,2.3760687833424665,1.0,5.9064907039404195,10.963591397702054
1460,2.3670714452681376,1.0,5.876839755577142,10.902685924444699
1480,2.358666190432323,1.0,5.8474943405902495,10.844279548412791
1500,2.3504243951414514,1.0,5.819463429664514,10.789188683209737
1520,2.3425759119206897,1.0,5.7913377797073435,10.748118957811442
1540,2.334364181897133,1.0,5.766064958834254,10.692957275182387
1560,2.3266765657770985,1.0,5.740094621842222,10.641774868721162
1580,2.3195005124115227,1.0,5.718992686828035,10.596986399491483
1600,2.3119858494191754,1.0,5.69470396764397,10.558463614529504
1620,2.304842241678197,1.0,5.669124429156606,10.517275939037063
1640,2.2979263816971125,1.0,5.649559634927456,10.469906068048362
1660,2.2911689880412207,1.0,5.6279958471350255,10.430814375202628
1680,2.284006500772758,1.0,5.6012664136536285,10.39535864795956
1700,2.2778212703863825,1.0,5.581171080848435,10.353910321706886
1720,2.2715630614958378,1.0,5.5593574188606,10.309844592863259
1740,2.265727337342247,1.0,5.540066183584713,10.269059676678202
1760,2.2598387803033906,1.0,5.518122255428655,10.234266530536242
1780,2.2545004517290357,1.0,5.499990389049955,10.210167526262618
1800,2.248795306654981,1.0,5.4798938720068735,10.17243758856997
1820,2.2432069214533588,1.0,5.462368335429346,10.133855118018197
1840,2.2378638966821556,1.0,5.448299589261296,10.107304622882415
1860,2.2327306187561597,1.0,5.430393912320142,10.067122957480034
1880,2.227474805783818,1.0,5.411493475548923,10.03944767319354
1900,2.222550463581701,1.0,5.394262814206741,10.012766911889534
1920,2.2177303804469624,1.0,5.37770716846353,9.981810933368251
1940,2.213237143769158,1.0,5.363342362822247,9.955769186831283
1960,2.2084541360377936,1.0,5.344927463587131,9.929822653020898
1980,2.2040390264110568,1.0,5.331782422975569,9.899257117732924
2000,2.1996722428465634,1.0,5.318258426238269,9.874352950115894
2020,2.1953480287959564,1.0,5.3033003174126305,9.8421062707151
